entid,q502,q502_1,q502_2,q502_3
34f4578e-3912-4cd2-bf64-fa8dc64713f7,Electric cooking device,0,0,0
34f4578e-3912-4cd2-bf64-fa8dc64713f7,Kerosene fuel / other liquid fuel stove,1,30,2000
34f4578e-3912-4cd2-bf64-fa8dc64713f7,LPG stove,0,0,0
34f4578e-3912-4cd2-bf64-fa8dc64713f7,Other,0,0,0
34f4578e-3912-4cd2-bf64-fa8dc64713f7,Solid-fuel stove,0,0,0
361e925c-9037-4e16-b730-a321a655fc5a,Biogas stove,0,0,0
361e925c-9037-4e16-b730-a321a655fc5a,Electric cooking device,0,0,0
361e925c-9037-4e16-b730-a321a655fc5a,Kerosene fuel / other liquid fuel stove,0,0,0
361e925c-9037-4e16-b730-a321a655fc5a,LPG stove,1,120,4000
361e925c-9037-4e16-b730-a321a655fc5a,Other,0,0,0
361e925c-9037-4e16-b730-a321a655fc5a,Solid-fuel stove,0,0,0
36aff9fe-53d5-42a8-8eac-bbe407e5da5e,Biogas stove,0,0,0
36aff9fe-53d5-42a8-8eac-bbe407e5da5e,Electric cooking device,0,0,0
36aff9fe-53d5-42a8-8eac-bbe407e5da5e,Kerosene fuel / other liquid fuel stove,2,720,2100
36aff9fe-53d5-42a8-8eac-bbe407e5da5e,LPG stove,0,0,0
36aff9fe-53d5-42a8-8eac-bbe407e5da5e,Other,0,0,0
36aff9fe-53d5-42a8-8eac-bbe407e5da5e,Solid-fuel stove,3,720,4000
36fdc7d5-b8c1-4394-8e4b-b601b10fbbb2,Biogas stove,1,360,8000
36fdc7d5-b8c1-4394-8e4b-b601b10fbbb2,Electric cooking device,0,0,0
36fdc7d5-b8c1-4394-8e4b-b601b10fbbb2,Kerosene fuel / other liquid fuel stove,0,0,0
36fdc7d5-b8c1-4394-8e4b-b601b10fbbb2,LPG stove,0,0,0
36fdc7d5-b8c1-4394-8e4b-b601b10fbbb2,Other,0,0,0
36fdc7d5-b8c1-4394-8e4b-b601b10fbbb2,Solid-fuel stove,0,0,0
383c4509-38cd-44d3-ba2a-474901f75e3d,Biogas stove,0,0,0
383c4509-38cd-44d3-ba2a-474901f75e3d,Electric cooking device,0,0,0
383c4509-38cd-44d3-ba2a-474901f75e3d,Kerosene fuel / other liquid fuel stove,4,70,15000
383c4509-38cd-44d3-ba2a-474901f75e3d,LPG stove,0,0,0
383c4509-38cd-44d3-ba2a-474901f75e3d,Other,0,0,0
383c4509-38cd-44d3-ba2a-474901f75e3d,Solid-fuel stove,2,75,13000
3903a78c-2745-43e6-af70-ec40c9e66015,Biogas stove,0,0,0
3903a78c-2745-43e6-af70-ec40c9e66015,Electric cooking device,0,0,0
3903a78c-2745-43e6-af70-ec40c9e66015,Kerosene fuel / other liquid fuel stove,0,0,0
3903a78c-2745-43e6-af70-ec40c9e66015,LPG stove,1,120,3000
3903a78c-2745-43e6-af70-ec40c9e66015,Other,0,0,0
3903a78c-2745-43e6-af70-ec40c9e66015,Solid-fuel stove,0,0,0
3c30d8dd-5f20-44e2-8770-fcb7bcf907ba,Biogas stove,0,0,0
3c30d8dd-5f20-44e2-8770-fcb7bcf907ba,Electric cooking device,0,0,0
3c30d8dd-5f20-44e2-8770-fcb7bcf907ba,Kerosene fuel / other liquid fuel stove,0,0,0
3c30d8dd-5f20-44e2-8770-fcb7bcf907ba,LPG stove,1,240,6500
3c30d8dd-5f20-44e2-8770-fcb7bcf907ba,Other,0,0,0
3c30d8dd-5f20-44e2-8770-fcb7bcf907ba,Solid-fuel stove,0,0,0
4163e1fc-3d13-46a5-9eca-cea63cb42167,Biogas stove,0,0,0
4163e1fc-3d13-46a5-9eca-cea63cb42167,Electric cooking device,0,0,0
4163e1fc-3d13-46a5-9eca-cea63cb42167,Kerosene fuel / other liquid fuel stove,0,0,0
4163e1fc-3d13-46a5-9eca-cea63cb42167,LPG stove,1,90,3000
4163e1fc-3d13-46a5-9eca-cea63cb42167,Other,0,0,0
4163e1fc-3d13-46a5-9eca-cea63cb42167,Solid-fuel stove,0,0,0
42f61e7a-fada-4311-bb98-a0d4c88fe5b0,Biogas stove,0,0,0
42f61e7a-fada-4311-bb98-a0d4c88fe5b0,Electric cooking device,0,0,0
42f61e7a-fada-4311-bb98-a0d4c88fe5b0,Kerosene fuel / other liquid fuel stove,0,0,0
42f61e7a-fada-4311-bb98-a0d4c88fe5b0,LPG stove,1,300,6000
42f61e7a-fada-4311-bb98-a0d4c88fe5b0,Other,0,0,0
42f61e7a-fada-4311-bb98-a0d4c88fe5b0,Solid-fuel stove,0,0,0
4320fa69-6ac2-4c30-a14b-82c19dd2423a,Biogas stove,0,0,0
4320fa69-6ac2-4c30-a14b-82c19dd2423a,Electric cooking device,0,0,0
4320fa69-6ac2-4c30-a14b-82c19dd2423a,Kerosene fuel / other liquid fuel stove,0,0,0
4320fa69-6ac2-4c30-a14b-82c19dd2423a,LPG stove,2,240,8000
4320fa69-6ac2-4c30-a14b-82c19dd2423a,Other,0,0,0
4320fa69-6ac2-4c30-a14b-82c19dd2423a,Solid-fuel stove,0,0,0
448c7bec-5270-49fe-b4eb-c02cd97f273d,Biogas stove,0,0,0
448c7bec-5270-49fe-b4eb-c02cd97f273d,Electric cooking device,0,0,0
448c7bec-5270-49fe-b4eb-c02cd97f273d,Kerosene fuel / other liquid fuel stove,0,0,0
448c7bec-5270-49fe-b4eb-c02cd97f273d,LPG stove,0,0,0
448c7bec-5270-49fe-b4eb-c02cd97f273d,Other,0,0,0
448c7bec-5270-49fe-b4eb-c02cd97f273d,Solid-fuel stove,2,180,5000
45471f97-9308-4b92-a3d9-9de26a705e65,Biogas stove,0,0,0
45471f97-9308-4b92-a3d9-9de26a705e65,Electric cooking device,0,0,0
45471f97-9308-4b92-a3d9-9de26a705e65,Kerosene fuel / other liquid fuel stove,0,0,0
45471f97-9308-4b92-a3d9-9de26a705e65,LPG stove,0,0,0
45471f97-9308-4b92-a3d9-9de26a705e65,Other,0,0,0
45471f97-9308-4b92-a3d9-9de26a705e65,Solid-fuel stove,2,240,6000
4642a243-3ffe-4a1b-8707-a9bc4da65853,Biogas stove,0,0,0
4642a243-3ffe-4a1b-8707-a9bc4da65853,Electric cooking device,0,0,0
4642a243-3ffe-4a1b-8707-a9bc4da65853,Kerosene fuel / other liquid fuel stove,1,200,6000
4642a243-3ffe-4a1b-8707-a9bc4da65853,LPG stove,0,0,0
4642a243-3ffe-4a1b-8707-a9bc4da65853,Other,0,0,0
4642a243-3ffe-4a1b-8707-a9bc4da65853,Solid-fuel stove,0,0,0
46d7218a-8aea-4004-adee-96b876598f44,Biogas stove,0,0,0
46d7218a-8aea-4004-adee-96b876598f44,Electric cooking device,0,0,0
46d7218a-8aea-4004-adee-96b876598f44,Kerosene fuel / other liquid fuel stove,1,120,2500
46d7218a-8aea-4004-adee-96b876598f44,LPG stove,0,0,0
46d7218a-8aea-4004-adee-96b876598f44,Other,0,0,0
46d7218a-8aea-4004-adee-96b876598f44,Solid-fuel stove,0,0,0
46e03a64-704e-4707-82ad-6b680b230f02,Biogas stove,1,220,6000
46e03a64-704e-4707-82ad-6b680b230f02,Electric cooking device,0,0,0
46e03a64-704e-4707-82ad-6b680b230f02,Kerosene fuel / other liquid fuel stove,0,0,0
46e03a64-704e-4707-82ad-6b680b230f02,LPG stove,0,0,0
46e03a64-704e-4707-82ad-6b680b230f02,Other,0,0,0
46e03a64-704e-4707-82ad-6b680b230f02,Solid-fuel stove,0,0,0
47daecb4-506c-442b-a5ee-93ee138dc1a4,Biogas stove,0,0,0
47daecb4-506c-442b-a5ee-93ee138dc1a4,Electric cooking device,0,0,0
47daecb4-506c-442b-a5ee-93ee138dc1a4,Kerosene fuel / other liquid fuel stove,2,120,2500
47daecb4-506c-442b-a5ee-93ee138dc1a4,LPG stove,0,0,0
47daecb4-506c-442b-a5ee-93ee138dc1a4,Other,0,0,0
47daecb4-506c-442b-a5ee-93ee138dc1a4,Solid-fuel stove,0,0,0
